TopAlexa,Snapshot,Value
5,,29
5,G,20
5,D,13
5,A,28
10,,92
10,G,44
10,D,36
10,A,87
50,,433
50,G,233
50,D,207
50,A,394
100,,1360
100,G,504
100,D,484
100,A,1098
