TopAlexa,Snapshot,Value
5,,25
5,ELEP_19,5
5,D_19,11
5,A_19,12
5,PB,13
10,,129
10,ELEP_19,14
10,D_19,47
10,A_19,55
10,PB,46
50,,979
50,ELEP_19,137
50,D_19,302
50,A_19,525
50,PB,388
100,,1646
100,ELEP_19,270
100,D_19,552
100,A_19,905
100,PB,738
