TopAlexa,Snapshot,Value
5,,29
5,G,18
5,D,13
5,A,27
10,,95
10,G,41
10,D,34
10,A,88
50,,1769
50,G,293
50,D,249
50,A,1173
100,,15645
100,G,791
100,D,710
100,A,12211
