TopAlexa,Snapshot,Value
5,,22
5,ELEP_19,5
5,D_19,10
5,A_19,11
5,PB,13
10,,117
10,ELEP_19,13
10,D_19,45
10,A_19,48
10,PB,45
50,,3339
50,ELEP_19,130
50,D_19,333
50,A_19,601
50,PB,476
100,,14386
100,ELEP_19,252
100,D_19,605
100,A_19,1733
100,PB,908
